Chinese,Pinyin,English,Russian
啊,a,auxiliary word,вспомогательное слово
爱情,àiqíng,Love,Любовь
爱人,ài rén,lover,любовник
安静,ānjìng,Be quiet,Потише
安全,ānquán,security,Безопасность
白色,bái sè,white,белый
班长,bān zhǎng,monitor; squad leader,монитор; командир отряда
办,bàn,do,do
办法,bànfǎ,Way,Воздушный поток
办公室,bàngōngshì,Office,офис
半夜,bàn yè,midnight,полночь
帮助,bāngzhù,Help,Помощь
饱,bǎo,full,полный
报名,bàomíng,sign up,регистрация
报纸,bàozhǐ,Newspaper,Газета
北方,běifāng,north,север
比如,bǐrú,such as,как
比如说,bǐ rú shuō,for example,например
笔,bǐ,pen,Соответствует
笔记,bǐ jì,note; notes,примечание; примечания
笔记本,bǐjìběn,Notebook,Блокнот
必须,bìxū,Must,Должен
边,biān,side,сторона
变,biàn,change,заменить
变成,biàn chéng,become; change into,стать; измениться на
遍,biàn,Times,Количество раз
表,biǎo,watch,Люблю ее ноги
表示,biǎoshì,Express,Экспресс-доставка
不错,bú cuò,not bad; pretty good,неплохо; довольно хорошо
不但,bú dàn,not only,А⁠НЕ⁠ТОЛЬКО⁠ДЛЯ
不够,bú gòu,not enough,недостаточным
不过,búguò,However,Однако
不太,bú tài,not too; not very much,не слишком; не очень
不要,bú yào,don't,не
不好意思,bù hǎo yì sī,sorry; feel embarrassed,извините; стесняйтесь
不久,bù jiǔ,soon,скоро
不满,bù mǎn,dissatisfied,не удовлетворен (-а)
不如,bùrú,not as good as,"не так хорошо, как"
不少,bù shǎo,not a few; a lot,не мало; много
不同,bù tóng,different,разный
不行,bù xíng,no way; be out of the question,ни в коем случае; быть вне вопроса
不一定,bù yī dìng,not necessarily; uncertain,не обязательно; неясно
不一会儿,bù yī huìr,in a moment; in a little while;  soon,через мгновение; через некоторое время;  скоро
部分,bùfen,Part,Деталь
菜单,càidān,menu,menu
参观,cānguān,visit,посещать 
参加,cānjiā,participate in,участвовать в
草,cǎo,grass,трава
草地,cǎo dì,grass; lawn,трава; газон
层,céng,layer,слой
查,chá,search; check,поиск; проверка
差不多,chàbuduō,Almost,Почти
长,cháng,long,длинный
常见,cháng jiàn,common,обычный
常用,cháng yòng,in common use,в общем пользовании
场,chǎng,site,производственный объект
超过,chāoguò,Exceed,Сверхлюди
超市,chāoshì,Supermarket,Супермакета
车辆,chē liàng,car; vehicle,автомобиль; транспортное средство
成绩,chéngjì,achievement,достижение
成为,chéngwéi,Become,Становиться
重复,chóngfù,repeat,повторить
重新,chóngxīn,again,снова
出发,chūfā,Set out,Изложите
出国,chū guó,go abroad,ехать за границу
出门,chū mén,go out,выходить
出生,chūshēng,Birth,Рождение
出现,chūxiàn,Appear,Появление
出院,chū yuàn,discharged; leave hospital,выписан; выписан из больницы
出租,chū zū,rent,сдать или снять
出租车,chūzūchē,Taxi,Такси
船,chuán,ship,корабль
吹,chuī,blow,ударять
春节,chūn jié,Spring Festival; Chinese New  Year,Праздник весны; китайский Новый  год
春天,chūn tiān,spring,весна
词,cí,word,слово
词典,cídiǎn,Dictionary,Словарь
词语,cíyǔ,terms,условия
从小,cóng xiǎo,from childhood,С детства.
答应,dāying,promise,обещать
打工,dǎgōng,Work,Труд
打算,dǎsuàn,Plan,План
打印,dǎyìn,Print,Печать
大部分,dà bù fèn,most,большинство
大大,dà dà,greatly; enormously,очень; чрезвычайно
大多数,dà duō shù,most; great majority,большинство; подавляющее большинство
大海,dà hǎi,sea,море
大家,dàjiā,everybody,все
大量,dà liàng,a lot of; lots of,много; много
大门,dà mén,door; gate,дверь; ворота
大人,dà rén,adult,взрослый
大声,dà shēng,loud,громкий
大小,dà xiǎo,size,размер
大衣,dà yī,overcoat,"пальто, шинель"
大自然,dà zì rán,nature,природа
带,dài,belt,ремень
带来,dài lái,bring,принести
单位,dānwèi,Company,Компания
但,dàn,but; however,Но все таки!
但是,dàn shì,but; however,Но все таки!
蛋,dàn,egg,яйцо
当,dāng,When,При
当时,dāngshí,at that time,И тогда
倒,dǎo,"fall, topple, fail","упасть, опрокинуться, потерпеть неудачу"
到处,dàochù,everywhere,повсюду
倒,dào,"inverted, reverse","перевернутый, обратный"
道,dào,road; way; path,дорога; путь; путь
道理,dàolǐ,truth,
道路,dào lù,road; way; path,дорога; путь; путь
得,dé,get,взять
得出,dé chū,obtain results; reach conclusion,получение результатов; заключение REACH
的话,de huà,if,НОВОРОССИЙСК
得,de,auxiliary verb,вспомогательный глагол
灯,dēng,lamp,лампа
等到,děng dào,wait until; by the time,подождите; к тому времени
等于,děngyú,Be equal to,Быть равным
低,dī,low,низкая
地球,dìqiú,earth,заземление
地铁,dìtiě,metro,metrou
地铁站,dì tiě zhàn,subway station,Станция метро
点头,diǎn tóu,nod,верть
店,diàn,shop; store,shop «магазин» store
掉,diào,fall,бам
东北,dōng běi,northeast,северо- восток
东方,dōng fāng,east,Ист
东南,dōng nán,southeast,юго- восток
冬天,dōng tiān,winter,зимн
动物,dòngwù,Animal,Животное
动物园,dòng wù yuán,zoo,зоопарк
读音,dú yīn,pronunciation,произношение
度,dù,degree; limit,градус; предел
短,duǎn,short,короткий
短信,duǎnxìn,message,сообщение
段,duàn,paragraph,paragraph
队,duì,team,команда
队长,duì zhǎng,team leader; captain,руководитель группы; капитан
对话,duìhuà,dialogue,диалог
对面,duìmiàn,Opposite side,противоположная сторона
多久,duō jiǔ,how long,как долго
多么,duōme,what,что
多数,duō shù,most; majority,большинство; большинство
多云,duō yún,cloudy,облачный
而且,ér qiě,and,и
发,fā,send out,send out
发现,fāxiàn,find,найдите
饭馆,fàn guǎn,restaurant,ресторан
方便,fāngbiàn,convenient,удобный
方便面,fāng biàn miàn,Instant noodles,Лапша б/п 
方法,fāngfǎ,Method,Способ
方面,fāngmiàn,Aspect,Соотношение сторон
方向,fāngxiàng,direction,Направление
放下,fàng xià,put down; lay down; drop,опускать; ложиться; падать
放心,fàngxīn,Don't worry,Не бойся
分开,fēn kāi,separate; part,отдельный; часть
分数,fēn shù,score; mark; fraction,оценка; отметка; дробь
分钟,fēnzhōng,Minute,Минуты
份,fèn,share,поделиться
服务,fú wù,service,услуга
复习,fùxí,Review,Рассмотрение
改,gǎi,change; correct; revise; switch  over,изменить; исправить; пересмотреть; переключиться
改变,gǎibiàn,change,заменить
干杯,gānbēi,Cheers!,Ваше здоровье!
感到,gǎn dào,feel; sense,чувство; смысл
感动,gǎndòng,Be moved,Быть перемещенным
感觉,gǎnjué,feel,чувствовать
感谢,gǎnxiè,Thank,Спасибо
干活儿,gànhuór,work on a job,работа на работе
刚,gāng,just,просто верьте в свои мечты
刚才,gāngcái,just,просто верьте в свои мечты
刚刚,gāng gāng,just; only; just a moment ago,just; only; только мгновение назад
高级,gāojí,senior,senior
高中,gāo zhōng,senior high school,Старшая средняя школа
个子,gèzi,Height,Высота
更,gèng,more,больше
公共汽车,gōnggòngqìchē,Bus,Автобус
公交车,gōng jiāo chē,bus,шина
公斤,gōngjīn,Kg.,/кг
公里,gōnglǐ,kilometre,километр
公路,gōng lù,highway; highroad,шоссе; шоссе
公平,gōngpíng,fair,удовлетворительно
公司,gōngsī,company,компания
公园,gōngyuán,Park,Парк
够,gòu,enough,&amp;
故事,gùshi,Story,История
故意,gùyì,deliberately,неправильно
顾客,gùkè,customer,заказчик
关机,guān jī,shutdown,shutdown
关心,guānxīn,Care for,care for
观点,guāndiǎn,viewpoint,KOMMENTARII
广场,guǎngchǎng,square,квадрат
广告,guǎnggào,Advertisement,Реклама
国际,guójì,international,международная
过来,guò lái,come; come over,приезжайте; приезжайте
过年,guò nián,celebrate the New Year,- Празднование Нового года
过,guò,cross; pass; spend; live,пересекать; проходить; тратить; жить
海,hǎi,sea,море
海边,hǎi biān,seaside,побережье
喊,hǎn,shout,кричать
好处,hǎochu,benefit,льгота
好多,hǎo duō,many; a lot of,много; много
好久,hǎo jiǔ,for a long time; long,For
好人,hǎo rén,good person,С ним все в порядке.
好事,hǎo shì,good deed; good thing,доброе дело; доброе дело
好像,hǎoxiàng,Be like,Быть как
合适,héshì,appropriate,где необходимо
河,hé,river,река
黑,hēi,black,чёрный
黑板,hēibǎn,blackboard,у меня есть собака.она черная
黑色,hēi sè,black,чёрный
红,hóng,red,красный
红色,hóng sè,red,красный
后来,hòulái,later,спустя
忽然,hūrán,suddenly,вдруг
湖,hú,lake,озеро
护照,hùzhào,passport,паспорт
花园,huā yuán,garden,посмотреть прочитать и сопоставить
画,huà,painting,painting
画家,huà jiā,painter; artist,живописец; художник
画儿,huàr,painting; drawing,покраска; рисование
坏处,huài chù,disadvantage; harm,недостаток; вред
坏人,huài rén,bad person,Плохой человек
欢迎,huānyíng,Welcome,Привет
换,huàn,change,заменить
黄,huáng,yellow,Желтый
黄色,huáng sè,yellow,Желтый
回国,huí guó,return home from abroad,вернуться домой из-за рубежа
活动,huódòng,activity,деятельности
或,huò,or,или
或者,huòzhě,perhaps,может быть
机会,jīhuì,Opportunity,Возможность
鸡,jī,chicken,курица
级,jí,level; rank; grade; degree; step,уровень; ранг; ранг; степень; ступень
急,jí,fast; anxious; urgent; annoyed,быстрый; тревожный; срочный; раздраженный
计划,jìhuà,plan,план
计算机,jì suàn jī,computer,компьютер
加,jiā,add; increase; put in,добавить; увеличить; вставить
加油,jiā yóu,oil; refuel; make an all-out  effort,масло; заправка; приложить все  усилия
家庭,jiātíng,Family,Семья
家长,jiā zhǎng,parent; the head of the family,родитель; глава семьи
假,jiǎ,false,ложный
假期,jià qī,holiday; vacation,отпуск; отпуск
检查,jiǎnchá,inspect; check,осмотреть; проверить
见到,jiàn dào,see,видеть
见过,jiàn guò,seen; have seen,видел (а); видел (а)
件,jiàn,piece,штука
健康,jiànkāng,Healthy,Healthy (Здоровье)
讲,jiǎng,speak,говорю
讲话,jiǎng huà,speak; talk,говорить; говорить
交,jiāo,hand over,Передача
交给,jiāo gěi,hand over,Передача
交通,jiāotōng,traffic,трафик
角,jiǎo,horn,рожок
角度,jiǎodù,angle,чистоты
饺子,jiǎozi,Dumplings,Пельмени
脚,jiǎo,foot,ступня
叫作,jiào zuò,be called; be known as,называться; быть известным как
教师,jiào shī,teacher,учитель
教室,jiàoshì,Classroom,Классная комната
教学,jiào xué,teach,обучать
教育,jiàoyù,education,образование
接,jiē,meet， pick,встретиться， выбрать
接到,jiē dào,receive,приемник
接受,jiēshòu,accept,принять
接下来,jiē xià lái,next,след.
